"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD4000FYYZ", "WD4000FYYZ", "260.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"4.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD4000F9YZ", "WD4000F9YZ", "279.00", "4.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 5900RPM SMR - 3.5in - Seagate Archive HDD", "ST5000AS0011", "209.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "5900RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Toshiba MC04ACA Series", "MC04ACA500E", "289.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE WD5001FSYZ", "WD5001FSYZ", "493.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"5.0TB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital Se WD5001F9YZ", "WD5001F9YZ", "439.00", "5.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"500GB SATA 6.0Gb/s 7200RPM - 2.5in - Western Digital Black WD5000LPLX (7.0mm)", "WD5000LPLX", "70.00", "500GB", "2.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "32MB", "undefined", "undefined", "undefined", "undefined"
"500GB SATA 6.0Gb/s 7200RPM - 3.5in - Western Digital RE4 WD5003ABYZ", "WD5003ABYZ", "89.00", "500GB", "3.5in Internal", "6.0Gb/s Serial ATA", "7200RPM", "64MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ 7K6000 (512e)", "0F22791", "339.00", "6.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Hitachi Ultrastar™ He8 (512e)", "0F23270", "389.00", "6.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SAS 3.0 12.0Gb/s 7200RPM - 3.5in - Seagate Enterprise Capacity (512e)", "ST6000NM0034", "339.00", "6.0TB", "3.5in Internal", "12.0Gb/s SAS", "7200RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
"6.0TB SATA 6.0Gb/s - 3.5in - Seagate Desktop HDD.15", "ST6000DM001", "259.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "undefined", "128MB", "undefined", "undefined", "180 MB/s", "180 MB/s"
"6.0TB SATA 6.0Gb/s 5900RPM SMR - 3.5in - Seagate Archive HDD v2", "ST6000AS0002", "239.00", "6.0TB", "3.5in Internal", "6.0Gb/s Serial ATA", "5900RPM", "128MB", "undefined", "undefined", "undefined", "undefined"
